Shift; Sign on; Sign off; Route; Direction; Variation; Trip; DestinationSign; Stop; RouteDescription; Departure Time; Arrival Time; Ends with runoff
W1109;0537;1450;0011;01;03;0823;056;Wellington Station (Stop B} ;Kilbirnie Shops - Rongotai Road  ;0835;0915;True;
W1109;0537;1450;0003;02;02;1029;064;;Courtenay Place  ;1041;1101;False;
W1109;0537;1450;0003;01;01;1050;067;;Lambton Quay - District Court ;1135;1152;False;
W1109;0537;1450;0003;02;02;1053;064;;Courtenay Place  ;1235;1301;False;
W1109;0537;1450;0003;01;01;1074;067;;Lambton Quay - District Court ;1335;1351;False;
W1110;1136;2109;0018;01;01;1375;388;;Massey University - Wallace Street  ;1154;1205;False;
W1110;1136;2109;0018;02;02;2416;389;;Victoria University - Kelburn Parade  ;1237;1254;False;
W1110;1136;2109;0018;01;01;1383;388;;Massey University - Wallace Street  ;1335;1358;False;
W1110;1136;2109;0018;02;02;1370;389;;Victoria University - Kelburn Parade  ;1437;1454;False;
W1110;1136;2109;0017;01;01;1339;098;;Victoria University - Kelburn Parade  ;1705;1713;False;
W1110;1136;2109;0017;02;02;1336;100;;Victoria University - Kelburn Parade  ;1735;1752;False;
W1110;1136;2109;0008;01;03;2989;039;Wellington Station (Stop B} ;Kowhai Park Terminus ;1810;1834;False;
W1110;1136;2109;0023;01;09;2521;142;;Via Melrose and Newtown Park ;1855;Courtenay Place  ;False;
W1110;1136;2109;0023;02;12;2526;141;;Via Houghton Bay on Request;1955;Victoria University - Kelburn Parade  ;False;
W1111;0540;1440;0011;02;02;0802;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;0610;0648;False;
W1111;0540;1440;0011;01;01;0805;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;0650;0728;False;
W1111;0540;1440;0011;02;02;0814;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;0740;0828;True;
W1111;0540;1440;0001;01;01;0045;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1016;1055;False;
W1111;0540;1440;0001;02;02;0052;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1105;1144;False;
W1111;0540;1440;0001;01;01;0061;004;Wellington Station (Stop A) ;Island Bay - Terminus ;1152;1231;False;
W1111;0540;1440;0001;02;02;0068;002;Wellington Station (Stop D) ;Island Bay - Terminus ;1241;1320;False;
W1111;0540;1440;0011;01;01;0863;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;1330;1410;False;
W1111;0540;1440;0011;02;02;0872;053;;Kilbirnie Shops-Rongotai Rd  ;1413;1425;False;
W1112;1137;2208;0011;02;02;0852;053;Wellington Station (Stop D) ;Kilbirnie Shops-Rongotai Rd  ;1155;1228;False;
W1112;1137;2208;0011;01;01;0857;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;1245;1325;False;
W1112;1137;2208;0011;02;02;0866;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;1328;1410;False;
W1112;1137;2208;0009;01;01;0631;043;Wellington Station (Stop B} ;Aro Street Terminus ;1415;1434;False;
W1112;1137;2208;0009;02;02;0628;042;Wellington Station (Stop D) ;Aro Street Terminus ;1440;1500;False;
W1112;1137;2208;0009;01;01;0635;043;Wellington Station (Stop B} ;Aro Street Terminus ;1510;1531;False;
W1112;1137;2208;0009;02;02;0632;042;Wellington Station (Stop D) ;Aro Street Terminus ;1535;1555;False;
W1112;1137;2208;0017;01;01;1341;098;;Victoria University - Kelburn Parade  ;1735;1743;False;
W1112;1137;2208;0017;02;02;1338;100;;Victoria University - Kelburn Parade  ;1805;1822;False;
W1112;1137;2208;0031;01;01;3061;177;;Miramar North - Park Road  ;1850;1924;True;
W1112;1137;2208;0003;01;01;1138;067;;Lyall Bay - Hungerford Road ;2007;2012;False;
W1112;1137;2208;0003;02;02;1139;064;;Courtenay Place  ;2020;2038;False;
W1112;1137;2208;0003;01;01;1148;067;;Lambton Quay - District Court ;2120;2134;False;
W1113;0545;1428;0014;02;08;2280;091;;Wadestown Shops  ;0635;0645;False;
W1113;0545;1428;0043;01;10;1761;182;;Khandallah Village  ;0720;0740;False;
W1113;0545;1428;0043;01;10;1761;185;;Wellington Station ;0740;0802;False;
W1113;0545;1428;0018;01;01;1371;388;;Massey University - Wallace Street  ;1042;1105;False;
W1113;0545;1428;0018;02;02;2414;389;;Victoria University - Kelburn Parade  ;1137;1154;False;
